date,location,title,categories,source_link
2023-07-28,bolivia,Bolivia is the latest South American nation to use China’s yuan for trade in challenge to the dollar,International Relations and Diplomacy,https://apnews.com/article/yuan-bolivia-trade-argentina-brazil-dollar-696bfb7c5ab68d4f0a87a7f6557678f0
2023-07-26,bolivia,Bolivia says it is interested in obtaining Iranian drone technology to protect its borders,Technology,https://apnews.com/article/iran-argentina-novillo-tehran-drones-570b75c7ca61bb6bbf6ca250ccb75828
2023-07-25,bolivia,Argentina demands that Bolivia explain its new defense agreement with Iran,Political Events,https://apnews.com/article/argentina-bolivia-iran-defense-mou-2cb8c5917fdb6d3e01af4c67af969797
2023-07-20,bolivia,"Bolivia boosts lithium resources estimate, cementing spot as global leader",Other,https://apnews.com/article/bolivia-lithium-resources-15e170b6f2f42079b750d262da9c258a
2023-06-16,bolivia,Pope Francis expresses concern and dismay over alleged abuse by priests in Bolivia,Other,https://apnews.com/article/pope-francis-bolivia-abuse-pedophilia-pedrajas-d41db17e4432b976e8dd2ffc2b3ec094
2023-06-02,bolivia,Bolivian Catholics unfazed by sex scandals as they gear up for massive festival,Culture and Society,https://apnews.com/article/great-power-bolivia-sex-abuse-pedophilia-dad55791a3c076f3ea8e24e64392d493
2023-06-01,bolivia,"Bolivia government says trustee probing bank died by suicide, but some demand new investigation",Political Events,https://apnews.com/article/bolivia-fassil-bank-colodro-trustee-death-62eb617c37cf606d795ce7ec7eceee76
2024-07-01,chile,"Stolen at birth, an adoptee sues Chile over thousands of similar dictatorship-era crimes",Political Events,https://apnews.com/article/chile-stolen-babies-a0059b37d3144712c897d49aa907f86f
2024-06-20,chile,Train collision in Chile kills at least 2 people and injures 9 others,Other,https://apnews.com/article/chile-train-collision-san-bernardo-57a473185042654ccd6e1de13b003b44
2024-05-23,chile,"In message to Russia, Chilean lawmakers meet in Antarctica to underline territorial claims",Other,https://apnews.com/article/chile-russia-antarctica-science-polar-argentina-oil-minerals-climate-change-7dcf5bfd3d38baada0eeebc199500ef0
2024-05-18,chile,"An unusual autumn freeze grips parts of South America, giving Chile its coldest May in 74 years",Culture and Society,https://apnews.com/article/chile-argentina-paraguay-cold-weather-e0aee88ea6475f0665283aa08cf0a313
2024-03-26,chile,Kolo Muani scores and assists as France fails to impress in 3-2 win over Chile,Other,https://apnews.com/article/soccer-france-chile-friendly-score-00131243e5d8fed4bc142f7055da6996
2024-06-27,chile,"Stolen at birth, adoptee sues Chile over thousands of similar dictatorship-era crimes",Political Events,https://apnews.com/video/chile-augusto-pinochet-theft-crime-lawsuits-c7d4cb74880344c78de5f25fbec9bdc5
2024-06-27,chile,Latin America celebrates Pride and a history of fighting for rights,Other,https://apnews.com/video/mexico-city-mexico-chile-peru-government-peru-afc16fd0191b4c05bcd7c5e637925120
2024-06-27,chile,"Two trains collide head-on in Chile, police investigate causes of unusual incident",Security and Law Enforcement,https://apnews.com/video/rail-accidents-chile-santiago-935c3bc5d39349c990bfe46b85db040d
2024-06-30,chile,Canada advances to Copa America quarterfinals in first appearance after scoreless draw with Chile,Culture and Society,https://apnews.com/article/chile-canada-copa-america-415c69faa50829a59baa26bcabea436f
2024-03-23,chile,"For Haitian diaspora, gang violence back home is personal as hopes dim for eventual return",Other,https://apnews.com/article/haiti-diaspora-border-biden-mexico-4c80dfb4b8fb6821a9d1534527b9d75a
2024-03-13,chile,"Native groups sit on a treasure trove of lithium. Now mines threaten their water, culture and wealth",Culture and Society,https://apnews.com/article/lithium-water-mining-indigenous-cb2f5b1580c12f8ba1b19223648069b7
