,title,category,date,location,url
116,‘Shocking’: Pedophile cop’s decades of abuse,Crime,2024-07-10,Australia,https://www.news.com.au/national/crime/truly-shocking-extent-of-pedophile-police-officer-paul-reynolds-decades-of-grooming-and-abusing/news-story/f718ca86fd8c672dd7478f903fe9f262
117,Wild scenes in 15-person centre brawl,VIC,2024-07-10,Australia,https://www.news.com.au/national/victoria/news/weapons-seized-from-scene-of-15-person-brawl-at-victorian-shopping-centre/news-story/e06fcad6acabba80137161ff9db1bc04
118,Ex-Bachelor star’s Bali nightmare,Travel Incidents,2024-07-10,Australia,https://www.news.com.au/travel/travel-updates/incidents/exbachelor-star-speaks-of-horror-moment-while-holidaying-in-bali-when-her-partner-was-hit/news-story/abbbc5fe7b54956ba0a64d71a69f62b9
119,Footage of masked creep’s crime spree,UPDATEDNSW & ACT Crime,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/crime/police-hunt-for-masked-offender-after-terrifying-assaults-on-three-woman-in-sydneys-west/news-story/be1610ccfbc03d9f0f74fb96a4d632d3
120,‘Bubbly’ Dusty won’t be pressured into career call,AFL,2024-07-10,Australia,https://www.news.com.au/sport/afl/richmond-coach-adem-yze-says-theres-no-pressure-on-dustin-martin-to-make-a-decision-on-his-future/news-story/7f8c4ace033bc7b2b2d09d0c2b5fb685
121,Olympian denies A-League betting scandal,UPDATEDFootball,2024-07-10,Australia,https://www.news.com.au/sport/football/olympian-and-aleague-star-clayton-lewis-denies-spotfixing-betting-scandal/news-story/1aff0206a2b827dd70be876e22a57a86
122,No injury demons for returning star,NRL,2024-07-10,Australia,https://www.news.com.au/sport/nrl/ivan-cleary-says-his-future-is-tied-to-penrith-and-his-son-nathan-who-is-on-the-verge-of-returning/news-story/4230fea0909773b422de4783c98ed00d
123,Governor-General’s vow to Aussies,UPDATEDLeaders,2024-07-10,Australia,https://www.news.com.au/finance/work/leaders/sam-mostyn-sworn-in-as-australias-next-governorgeneral/news-story/823cdb338d299684dd00bd4c6e60982b
124,‘We’re second’: Lions coming with a big rush,AFL,2024-07-10,Australia,https://www.news.com.au/sport/afl/brisbane-lions-coach-chris-fagan-says-his-team-is-the-secondbest-in-the-afl-after-poor-start/news-story/ea3a8b7b0ae7c176fa3c44a0c5ebebd1
125,Demons on high-alert for Harley,AFL,2024-07-10,Australia,https://www.news.com.au/sport/afl/melbourne-coach-simon-goodwin-on-high-alert-for-harley-reid-in-sunday-showdown-with-west-coast/news-story/bf83896d4b23b103fce7779dc5db69aa
126,Fresh push for soft drink tax,Health Problems,2024-07-10,Australia,https://www.news.com.au/lifestyle/health/health-problems/independent-mp-calls-for-government-to-implement-sugar-tax-amid-diabetes-epidemic/news-story/91afa63795ba12e8e63b65c36a003b7f
127,From a mankini ban to the Olympics,Olympics,2024-07-10,Australia,https://www.news.com.au/sport/olympics/legend-shane-rose-included-in-ninemember-australian-equestrian-team-for-paris-olympics/news-story/7ae1c65e453159ef8f30eb7bf91a27c9
128,Update after young driver killed in crash,VIC Crime,2024-07-10,Australia,https://www.news.com.au/national/victoria/crime/man-dead-three-teens-charged-others-on-the-run-after-deadly-crash-in-burwood-melbourne/news-story/049d46b0d6a7fbe05ea674343c4319b8
129,Outspoken MP’s bold statement at ball,Red Carpet,2024-07-10,Australia,https://www.news.com.au/entertainment/celebrity-style/red-carpet/pollies-dress-up-for-annual-federal-press-gallery-midwinter-ball-for-charity/news-story/5741300b02647310641666fc2a58f552
130,Millions warned about deadly disease,Health,2024-07-10,Australia,https://www.news.com.au/lifestyle/health/victorian-health-department-issues-measles-warning-as-infectious-person-visits-mcdonalds-grocers-toy-store/news-story/cd1d1d50516268346ed03fa5a655e465
131,Charity forced to pull beds for homeless,Wellbeing,2024-07-10,Australia,https://www.news.com.au/lifestyle/health/wellbeing/wheres-the-humanity-charity-forced-to-warehouse-portable-beds-showers-in-freezing-tasmania/news-story/981a1edf3b5d8c83e79a6bc95c06053d
132,Horror as woman pushed onto train tracks,VIC,2024-07-10,Australia,https://www.news.com.au/national/victoria/news/thank-goodness-shes-ok-attacker-randomly-pushes-woman-onto-train-tracks/news-story/28356053fac581c6c098e21e0d96151f
133,‘Significant chance’: Judge’s huge Hayne call,NRL,2024-07-10,Australia,https://www.news.com.au/sport/nrl/innocent-judges-big-call-after-jarryd-hayne-rape-convictions-overturned/news-story/f7b399e4b0df81248889feb4acb2507f
134,First pics as TV hunk freed after attack,UPDATEDVIC Courts & Law,2024-07-10,Australia,https://www.news.com.au/national/victoria/courts-law/orpheus-pledger-former-home-and-away-actor-to-seek-bail-after-attacking-woman/news-story/4a8fa270440996965ca3160e6090b1c0
